Native,4.82,4.82,4.82
CpuArray,4.71, 4.71, 4.71
Array, 4.18, 4.18, 4.18
CpuHash,2.54, 2.54, 2.54
RB,1.74, 1.74, 1.74
Hash,1.37, 1.37,1.37
Tcpdump,1.6,1.6,1.6
