Native,2.94,2.94,2.94, 4.82,4.82,4.82
RB,2.03,2.03,2.03, 1.74, 1.74, 1.74
Hash,1.44,1.44,1.44, 1.37, 1.37,1.37
Cpuhash,2.53,2.53,2.53, 2.54, 2.54, 2.54
Cpuarray,2.53,2.53,2.53, 4.71, 4.71, 4.71
Tcpdump,1.56,1.56,1.56, 1.6,1.6,1.6
