Native, 4.77,4.55,4.82,4.82,4.81,5.0
CpuArray, 4.61, 4.71, 4.81, 4.64, 4.58, 4.82
Array, 4.18, 4.10, 4.25, 4.51, 4.17,4.6
CpuHash, 2.54, 2.42, 2.7, 4.3, 3.8, 4.5
RB, 1.74, 1.74, 1.75, 1.8, 1.79, 1.81
Hash, 1.4, 1.37, 1.45, 3.88, 2.9, 4.35
Tcpdump, 1.6, 1.6, 1.6, 1.7, 1.59, 1.8
