Native,4.82,4.82,4.82
Cpuarray,4.71, 4.71, 4.71
Cpuhash,2.54, 2.54, 2.54
RB,1.74, 1.74, 1.74
Hash,1.37, 1.37,1.37
Tcpdump,1.6,1.6,1.6
